"source","target"
"In the last 7 days",""
"Check messages sent per month",""
"Check templates used by month",""
"See all uploaded files",""
"Messages sent,",""
"fiscal year",""
"Total spend",""
"Month",""
"Fiscal year ends 31 March.",""
"Provided as PDF",""
"Get started",""
"Write an email, text message or letter",""
"Write an email or text message",""
"Logos should be PNG files, 108px high",""
"New brand",""
"Send an unlimited number of free emails with Notification.","Send an unlimited number of free emails with <i>Notify</i>."
"and try Notification for yourself.","and try <i>Notify</i> for yourself."
"Notification makes it easy to:","<i>Notify</i> makes it easy to:"
"create reusable email templates",""
"personalize the content of your emails",""
"send and schedule bulk messages",""
"Your developers can also",""
"integrate with our API",""
"to send emails automatically.",""
"Add a reply-to address",""
"Notification lets you choose the email address where users can send their reply.","<i>Notify</i> lets you choose the email address where users can send their reply."
"Emails with a reply-to address seem more trustworthy and are less likely to be labelled as spam.",""
"You can add reply-to addresses in your service settings.",""
"Pricing",""
"It’s free to send emails through Notification.","It’s free to send emails through <i>Notify</i>."
"Template Formatting Guide",""
"Template Formatting","Template formatting"
"Send thousands of free text messages to Canadian and international numbers with Notification.","Send thousands of free text messages to Canadian and international numbers with <i>Notify</i>."
"and try Notification for yourself","and try <i>Notify</i> for yourself"
"create reusable text message templates",""
"personalize the content of your texts",""
"to send text messages automatically",""
"Display your sender name",""
"When Notification sends your message, the text displays your service name. This shows people that the message is from your service. You can change the text message sender name in your service settings.","When <i>Notify</i> sends your message, the text displays your service name. This shows people that the message is from your service. You can change the text message sender name in your service settings."
"You can send 25,000 free text messages per year from each service you create.",""
"Find services by name",""
"Find services by name, or by partial name",""
"No services found.",""
"Find users by email",""
"Find users by email, or by partial email",""
"No users found.",""
"User information for",""
"No live services",""
"No services in trial mode",""
"Last login",""
"This person has never logged in",""
"Last logged in",""
"failed login attempts",""
"Archive user",""
"Unblock user",""
"Block user",""
"Confirm change of email address",""
"New email address:",""
"We will send",""
"an email to tell them about the change.",""
"Confirm",""
"Confirm change of mobile number",""
"New mobile number:",""
"a text message to tell them about the change.",""
"Change team member’s email address",""
"This will change the email address for",""
"Change team member’s mobile number",""
"This will change the mobile number for ",""
"All team members can see sent messages.",""
"Platform admin users can access all template folders.",""
"Not available because this team member hasn’t added a phone&nbsp;number to their profile",""
"was sent",""
"by",""
"See all text messages sent to this phone number",""
"New organisation",""
"live service(s)",""
"archived",""
"When you turn a service live please log which services have been turned
      live and why you approved the change.",""
"Preview",""
"Confirm organisation name change",""
"Your organisation name will be changed from",""
"Change organisation name",""
"Remove user from organisation",""
"Live API keys",""
"Service",""
"Total notifications",""
"SMS",""
"Download report",""
"Reports",""
"Download live services csv report",""
"Download performance platform report (.xlsx)",""
"Monthly notification statuses for live services",""
"Usage for all services",""
"Enter start date in format YYYY-MM-DD",""
"How to pay",""
"Invoices",""
"We’ll send your organisation an invoice each quarter if you:",""
"exceed the",""
"free text message allowance",""
"If your organisation has more than one service, you'll see a breakdown of each service on your invoice.",""
"If the value of an invoice is less than £250 (before <abbr title=""Value Added Tax"">VAT</abbr>), we’ll add it to the total for the next quarter to save time and effort.",""
"You can pay by BACS, debit card, or credit card.",""
"Purchase orders",""
"If your organisation’s estimated spend is more than £500 per year (before <abbr title=""Value Added Tax"">VAT</abbr>), you need to send us a purchase order (PO).",""
"Your organisation should raise a single <abbr title=""purchase order"">PO</abbr> for the estimated cost of all its services. You can update the PO anytime if your usage increases.",""
"You may need to set up the Cabinet Office as a supplier before you can raise a <abbr title=""purchase order"">PO</abbr>.",""
"if you need help raising a purchase order.",""
"To use Notification, there’s:","To use <i>Notify</i>, there’s:"
"no monthly charge",""
"no setup fee",""
"no procurement cost",""
"then set up as many different services as you need to.",""
"You can set up as many different services as you need to.",""
"When you set up a new service it will start in",""
"Each service you set up in Notification has a free annual allowance. The allowance is:","Each service you set up in <i>Notify</i> has a free annual allowance."
"250,000 free text messages for central government services",""
"25,000 free text messages for other public sector services",""
"Long text messages",""
"If a text message is longer than 160 characters (including spaces), it’ll be charged as more than one message:",""
"Text message pricing",""
"Long text messages containing characters (Â, â, Ê, ê, Î, î, Ô, ô, Û, û, Ŵ, ŵ, Ŷ, and ŷ) are charged differently:",""
"Message length",""
"Charge",""
"Sending text messages to international numbers",""
"It might cost more to send text messages to international numbers than UK ones, depending on the country.",""
"International text message rates",""
"Search by country name or code",""
"Yes, delete ",""
"You haven’t added any reply-to email addresses yet",""
"Add reply-to email address",""
"You need to add at least one reply-to address so recipients can reply to your messages.",""
"Emails with a reply-to address:",""
"are less likely to be labelled as spam",""
"appear more trustworthy",""
"Link service to organisation",""
"No organisations",""
"Users will see your service name:",""
"as your email sender name",""
"Users will see your service name as your email sender name.",""
"Request to go live",""
"Sending Page",""
"Sending Domain",""
"Default notification.alpha.canada.ca",""
"Your team members can sign in with either a text message code or an email link.",""
"You can",""
"set the sign-in method for individual team members",""
"Your team members sign in with a text message code.",""
"if signing in with a text message is a problem for your team.",""
"Set email branding",""
"Charges may apply for messages sent to international phone numbers – so be careful!",""
"You have a free allowance of",""
"text messages each
        financial year.",""
"You haven’t added any text message senders yet",""
"Add text message sender",""
"The text message sender tells your users who the message is from.",""
"Change email branding",""
"Choose the branding you’d like on your emails.",""
"You need to choose an option",""
"We’ll email you once your branding’s ready to use, or if we need any
      more information.",""
"Request new branding",""
"Update email branding",""
"Uploads need to be exactly 108px tall to fit correctly at the top of your emails",""
"We will review your branding and implement it.",""
"Your logo has been uploaded, and a Branding Request has been made to Support.",""
"Upload logo",""
"We’re checking that ",""
"is a real email address.",""
"This can take a minute",""
"is ready to use",""
"There’s a problem with your reply-to address",""
"We sent an email to ",""
"but it wasn’t delivered.",""
"You can try again, or use a different address.",""
"This should be a shared inbox managed by your team, not your own email address.",""
"Change reply-to email address",""
"This is the default reply-to address for",""
"email reply-to address",""
"Change text message sender",""
"This phone number receives replies and can’t be changed",""
"Up to 11 characters, letters, numbers and spaces only",""
"This is the default text message sender.",""
"Generate a new password if you forgot it.",""
"Remove SMTP relay",""
"Add SMTP Relay",""
"Create SMTP relay",""
"enter a name",""
"Back to support",""
"Add new folder",""
"This template was deleted",""
"If you need to send this",""
"or edit this template, contact your manager.",""
"Edit made",""
"Created",""
"This folder is empty",""
"There are no",""
"templates in this folder",""
"Add new template or folder",""
"What do you want to add?",""
"Confirm changes",""
"You removed",""
"You added",""
"When you send messages using this template you’ll need",""
"column of data:",""
"columns of data:",""
"Developers, you’ll need to update your API calls",""
"Save changes to template",""
"You need to create a template to send",""
"emails, text messages or letters",""
"emails or text messages",""
"You can also create folders to organize your templates.",""
"You need to ask your service manager to add templates before you can send",""
"Copy an existing template",""
"Delete this folder",""
"Daily message limit",""
"Last edited",""
"See previous versions",""
"Delete this template",""
"Hide personal information from screen and logs after sending",""
"Personalisation is hidden after sending",""
"Template version",""
"See all versions of this template",""
"Something to remember your key by",""
"Add key",""
"Change your ",""
"Change your password",""
"We’ve sent a security code to your new ",""
"New security key",""
"Test keys",""
"Open Document Spreadsheet",""
"or Microsoft Excel spreadsheet",""
"gc notify, notify, canada notify, canada email, email notifications, Government of Canada, federal government, Canada SMS,
Canada Notification service",""
"since",""
"Data available until",""
"Previous versions",""
"Back to current templates",""
"Notify is built for the needs of government services. It has processes in place to:","<i>Notify</i> is built for the needs of government services. It has processes in place to:"
"protect user data",""
"keep systems secure",""
"manage risks around information",""
"Data",""
"On Notify, data is encrypted:","On <i>Notify</i>, data is encrypted:"
"when it passes through the service",""
"when it’s stored on the service",""
"All data, including email addresses, phone numbers, and information in personalized messages are stored for 7 days within the system database. The exception is data files uploaded to the system. These are held for 30 days to allow for advanced scheduling of emails.",""
"See the ",""
"Privacy Notice",""
"for more information on how personal information is handled by Notify.","for more information on how personal information is handled by <i>Notify</i>."
"Technical security",""
"Other technical security controls on Notify include:","Other technical security controls on <i>Notify</i> include"
"implementation of security controls from",""
"Treasury Board of Canada Secretariat (TBS) cloud guardrails",""
"TBS security playbook",""
"Canadian Center for Cyber Security (CCCS) Information Technology Security Guidance (ITSG-33)",""
"protective monitoring to record activity, and raise alerts about any suspicious activity",""
"using JSON Web Tokens, to avoid sending API keys when your service talks to Notify","using JSON Web Tokens, to avoid sending API keys when your service talks to <i>Notify</i>"
"Protect sensitive information",""
"Some messages include sensitive information like security codes or password reset links.",""
"If you’re sending a message with sensitive information, you can choose to hide those details on the Notify dashboard once the message has been sent. This means that only the message recipient will be able to see that information.",""
"User permissions and logging in",""
"You can set different user permissions in Notify. This lets you control who in your team has access to certain parts of the service.","You can set different user permissions in <i>Notify</i>. This lets you control who in your team has access to certain parts of the service."
"Two-factor authentication",""
"To create an account on Notify, you’ll need to enter:","To create an account on <i>Notify</i>, you’ll need to enter:"
"your email address and password",""
"a code that Notify sends to your phone or email","a code that <i>Notify</i> sends to your phone or email"
"Once you have logged in the first time, you can add a hardware-based security key to further increase the security of your account.",""
"If you are having issues creating or accessing your account, email our support team at ",""
"Information risk management",""
"Our approach to information risk management follows TBS guidance. It assesses:",""
"how Notify is built","how <i>Notify</i> is built"
"the infrastructure Notify is built upon","the infrastructure <i>Notify</i> is built upon"
"support for the Notify service","support for the <i>Notify</i> service"
"This approach also applies to the service providers Notify uses to send messages.","This approach also applies to the service providers <i>Notify</i> uses to send messages."
"How we manage risks on Notify","How we manage risks on <i>Notify</i>"
"Things we do to manage risks on Notify include:","Things we do to manage risks on <i>Notify</i> include:"
"formal risk assessments based on TBS and CCCS guidance",""
"residual risk statement preparation and active management of the risk treatment plan",""
"security impact assessments",""
"Authority to Operate",""
"Notify has been assessed and authorized for operation by the CDS Chief Executive Officer, as the senior authorizing official for the service. This ATO will be re-assessed on at least an annual basis.","<i>Notify</i> has been assessed and authorized for operation by the CDS Chief Executive Officer, as the senior authorizing official for the service. This ATO will be re-assessed on at least an annual basis."
"Data Categorization",""
"You can use Notify to send messages designated up to and including “Protected A” per the <a href=https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32614>Standard on Security Categorization</a>.","You can use <i>Notify</i> to send messages designated up to and including “Protected A” per the <a href=https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32614>Standard on Security Categorization</a>."
"Security Disclosure",""
"Should an incident happen, we have a comprehensive incident response and customer notification procedures in place.",""
"Should you suspect a security breach or have discovered a vulnerability in the service, email us at ",""
"and we’ll investigate immediately.",""
"Empty",""
"1 template",""
"templates",""
"That verification link has expired.",""
